Object,Location
"teddy bear 
<end_of_turn>",childs room
"Teddy bear 
<end_of_turn>",childs room
"pillow 
<end_of_turn>",bedroom
"spatula 
<end_of_turn>",kitchen
"Treadmill 
<end_of_turn>",exercise room
"pillow 
<end_of_turn>",bedroom
"Building blocks 
<end_of_turn>",playroom
"refrigerator 
<end_of_turn>",kitchen
"coffee table 
<end_of_turn>",living room
"toolbox 
<end_of_turn>",storage room
"dining table 
<end_of_turn>",dining room
"canned goods 
<end_of_turn>",pantry room
"pillow 
<end_of_turn>",bedroom
"pillow 
<end_of_turn>",bedroom
"pillow 
<end_of_turn>",bedroom
